col1-time col2-mc1.x[0] col3-mc1.x[1] col4-mc1.y[0] col5-mc1.y[1] col6-mc1.u[0] col7-mc1.u[1] col8-mc2.x[0] col9-mc2.x[1] col10-mc2.y[0] col11-mc2.y[1] col12-mc2.u[0] col13-mc2.u[1] 
0 2.000000 2.000000 2.000000 2.000000 10.000000 10.000000 10.000000 10.000000 10.000000 10.000000 2.000000 2.000000 
1 2.800000 -0.560000 2.800000 -0.560000 20.000000 -10.000000 20.000000 -10.000000 20.000000 -10.000000 2.800000 -0.560000 
2 1.568000 -1.489600 1.568000 -1.489600 10.000000 -20.000000 10.000000 -20.000000 10.000000 -20.000000 1.568000 -1.489600 
3 0.054880 -1.081136 0.054880 -1.081136 -10.000000 -10.000000 -10.000000 -10.000000 -10.000000 -10.000000 0.054880 -1.081136 
4 -0.718379 -0.253930 -0.718379 -0.253930 -20.000000 10.000000 -20.000000 10.000000 -20.000000 10.000000 -0.718379 -0.253930 
5 -0.680616 0.298681 -0.680616 0.298681 -10.000000 20.000000 -10.000000 20.000000 -10.000000 20.000000 -0.680616 0.298681 
6 -0.267355 0.396225 -0.267355 0.396225 10.000000 10.000000 10.000000 10.000000 10.000000 10.000000 -0.267355 0.396225 
7 0.090209 0.214211 0.090209 0.214211 20.000000 -10.000000 20.000000 -10.000000 20.000000 -10.000000 0.090209 0.214211 
8 0.213094 0.000782 0.213094 0.000782 10.000000 -20.000000 10.000000 -20.000000 10.000000 -20.000000 0.213094 0.000782 
9 0.149713 -0.104252 0.149713 -0.104252 -10.000000 -10.000000 -10.000000 -10.000000 -10.000000 -10.000000 0.149713 -0.104252 
10 0.031823 -0.095252 0.031823 -0.095252 -20.000000 10.000000 -20.000000 10.000000 -20.000000 10.000000 0.031823 -0.095252 
11 -0.044401 -0.035596 -0.044401 -0.035596 -10.000000 20.000000 -10.000000 20.000000 -10.000000 20.000000 -0.044401 -0.035596 
12 -0.055998 0.014281 -0.055998 0.014281 10.000000 10.000000 10.000000 10.000000 10.000000 10.000000 -0.055998 0.014281 
13 -0.029202 0.030438 -0.029202 0.030438 20.000000 -10.000000 20.000000 -10.000000 20.000000 -10.000000 -0.029202 0.030438 
14 0.000865 0.020701 0.000865 0.020701 10.000000 -20.000000 10.000000 -20.000000 10.000000 -20.000000 0.000865 0.020701 
15 0.015096 0.003923 0.015096 0.003923 -10.000000 -10.000000 -10.000000 -10.000000 -10.000000 -10.000000 0.015096 0.003923 
16 0.013314 -0.006573 0.013314 -0.006573 -20.000000 10.000000 -20.000000 10.000000 -20.000000 10.000000 0.013314 -0.006573 
17 0.004718 -0.007904 0.004718 -0.007904 -10.000000 20.000000 -10.000000 20.000000 -10.000000 20.000000 0.004718 -0.007904 
18 -0.002230 -0.003972 -0.002230 -0.003972 10.000000 10.000000 10.000000 10.000000 10.000000 10.000000 -0.002230 -0.003972 
19 -0.004341 0.000259 -0.004341 0.000259 20.000000 -10.000000 20.000000 -10.000000 20.000000 -10.000000 -0.004341 0.000259 
20 -0.002858 0.002182 -0.002858 0.002182 10.000000 -20.000000 10.000000 -20.000000 10.000000 -20.000000 -0.002858 0.002182 
21 -0.000473 0.001858 -0.000473 0.001858 -10.000000 -10.000000 -10.000000 -10.000000 -10.000000 -10.000000 -0.000473 0.001858 
22 0.000970 0.000622 0.000970 0.000622 -20.000000 10.000000 -20.000000 10.000000 -20.000000 10.000000 0.000970 0.000622 
23 0.001114 -0.000344 0.001114 -0.000344 -10.000000 20.000000 -10.000000 20.000000 -10.000000 20.000000 0.001114 -0.000344 
24 0.000539 -0.000618 0.000539 -0.000618 10.000000 10.000000 10.000000 10.000000 10.000000 10.000000 0.000539 -0.000618 
25 -0.000056 -0.000394 -0.000056 -0.000394 20.000000 -10.000000 20.000000 -10.000000 20.000000 -10.000000 -0.000056 -0.000394 
26 -0.000315 -0.000055 -0.000315 -0.000055 10.000000 -20.000000 10.000000 -20.000000 10.000000 -20.000000 -0.000315 -0.000055 
27 -0.000259 0.000143 -0.000259 0.000143 -10.000000 -10.000000 -10.000000 -10.000000 -10.000000 -10.000000 -0.000259 0.000143 
28 -0.000082 0.000157 -0.000082 0.000157 -20.000000 10.000000 -20.000000 10.000000 -20.000000 10.000000 -0.000082 0.000157 
29 0.000053 0.000073 0.000053 0.000073 -10.000000 20.000000 -10.000000 20.000000 -10.000000 20.000000 0.000053 0.000073 
