col1-time col2-mc1.x[0] col3-mc1.x[1] col4-mc1.y[0] 
0 110.000000 2.000000 2.000000 
1 109.000000 2.000000 2.000000 
2 108.000000 2.000000 2.000000 
3 107.000000 2.000000 2.000000 
4 106.000000 2.000000 2.000000 
5 105.000000 2.000000 2.000000 
6 104.000000 2.000000 2.000000 
7 103.000000 2.000000 2.000000 
8 102.000000 2.000000 2.000000 
9 101.000000 2.000000 2.000000 
10 100.000000 2.000000 2.000000 
11 99.000000 2.000000 2.000000 
12 98.000000 2.000000 2.000000 
13 97.000000 2.000000 2.000000 
14 96.000000 2.000000 2.000000 
15 95.000000 2.000000 2.000000 
16 94.000000 2.000000 2.000000 
17 93.000000 2.000000 2.000000 
18 92.000000 2.000000 2.000000 
19 91.000000 2.000000 2.000000 
20 90.000000 2.000000 2.000000 
21 89.000000 2.000000 2.000000 
22 88.000000 2.000000 2.000000 
23 87.000000 2.000000 2.000000 
24 86.000000 2.000000 2.000000 
25 85.000000 2.000000 2.000000 
26 84.000000 2.000000 2.000000 
27 83.000000 2.000000 2.000000 
28 82.000000 2.000000 2.000000 
29 81.000000 2.000000 2.000000 
30 80.000000 2.000000 2.000000 
31 79.000000 2.000000 2.000000 
32 78.000000 2.000000 2.000000 
33 77.000000 2.000000 2.000000 
34 76.000000 2.000000 2.000000 
35 75.000000 2.000000 2.000000 
36 74.000000 2.000000 2.000000 
37 73.000000 2.000000 2.000000 
38 72.000000 2.000000 2.000000 
39 71.000000 2.000000 2.000000 
40 70.000000 2.000000 2.000000 
41 69.000000 2.000000 2.000000 
42 68.000000 2.000000 2.000000 
43 67.000000 2.000000 2.000000 
44 66.000000 2.000000 2.000000 
45 65.000000 2.000000 2.000000 
46 64.000000 2.000000 2.000000 
47 63.000000 2.000000 2.000000 
48 62.000000 2.000000 2.000000 
49 61.000000 2.000000 2.000000 
50 60.000000 2.000000 2.000000 
51 59.000000 2.000000 2.000000 
52 58.000000 2.000000 2.000000 
53 57.000000 2.000000 2.000000 
54 56.000000 2.000000 2.000000 
55 55.000000 2.000000 2.000000 
56 54.000000 2.000000 2.000000 
57 53.000000 2.000000 2.000000 
58 52.000000 2.000000 2.000000 
59 51.000000 2.000000 2.000000 
60 50.000000 2.000000 2.000000 
61 49.000000 2.000000 2.000000 
62 48.000000 2.000000 2.000000 
63 47.000000 2.000000 2.000000 
64 46.000000 2.000000 2.000000 
65 45.000000 2.000000 2.000000 
