V = 2.50539 S = 3.36204i=1, q=1, b=2.23853, s=0.29284
i=2, q=1, b=1.83001, s=0.295516
i=3, q=1, b=1.9742, s=0.294576
i=4, q=1, b=1.39511, s=0.308667
i=5, q=1, b=1.71053, s=0.242485
i=1, q=2, b=1.97002, s=1.00244
i=2, q=2, b=1.94043, s=0.280288
i=3, q=2, b=1.6587, s=0.282572
i=4, q=2, b=1.65704, s=0.318442
i=5, q=2, b=1.61331, s=0.208945
i=1, q=3, b=1.71433, s=0.378981
i=2, q=3, b=1.82702, s=0.322996
i=3, q=3, b=1.92801, s=0.557317
i=4, q=3, b=1.80294, s=0.273645
i=5, q=3, b=1.47841, s=0.2302
i=1, q=4, b=1.64801, s=0.206869
i=2, q=4, b=1.48574, s=0.38662
i=3, q=4, b=1.66177, s=0.264695
i=4, q=4, b=1.70612, s=0.264428
i=5, q=4, b=1.60292, s=0.166326
i=1, q=5, b=2.04141, s=0.41258
i=2, q=5, b=1.51945, s=0.217265
i=3, q=5, b=1.68857, s=0.225053
i=4, q=5, b=1.63227, s=0.291523
i=5, q=5, b=1.90263, s=0.33706
